human_label	mouse_label	count	similar	which adds more info	completely discordant	notes	worth mentioning / digging into	why
amygdala excitatory neuron	oligodendrocyte precursor cell	1	different - completely	neither	yes		no	absolutely terrible alignment score
cerebellar granule cell	cerebellar Golgi cell	1	different - function	neither	function		yes	I think this was annotated incorrectly for human because it should be cerebellar inhibitory not granule cell. Golgi cell would be more appropriate or just cerebellar inhibitory GABAergic interneuron
hippocampal CA1-3 neuron	glutamatergic neuron	1	different - completely	human	yes		maybe	interesting because the score is very high here but not sure what else we can say about this
cerebellar inhibitory GABAergic interneuron	cerebellar neuron	1	equivalent 	human	N			
direct pathway medium spiny neuron	GABAergic neuron	1	different - level	human	level			
direct pathway medium spiny neuron	Island of Calleja granule cell	1	different - location	neither	location		yes	"score is quite high, definition of island of calleja granule cell is: A DRD1-expressing, medium spiny neuron-like granule cell that is part of an Island of Calleja. Not sure how to confirm but worth looking into if possible"
hippocampal CA1-3 neuron	L2/3 intratelencephalic projecting glutamatergic neuron	1	different - location	neither	location		maybe	"score is fine but not sure how to demonstrate either annotation is more correct, human one seems fine honestly "
hippocampal CA1-3 neuron	amygdala excitatory neuron	1	different - location	neither	location		maybe	score is low but majority of expression is in the amygdala so maybe there is something here?
hippocampal CA1-3 neuron	cerebellar inhibitory GABAergic interneuron	1	different - location	neither	location		no	terrible score
von Economo neuron	L5 extratelencephalic projecting glutamatergic cortical neuron	1	equivalent 	neither	N			
